Is the device still being manufactured?,Device Specific,Manufacturer,Link to the website. Manufacture's website., Price per Item ,Link to the website. Manufacture's website wherever possible (amazon only if you cannot find it anywhere else), Are classroom sets avaiable?  ,"If so, what is the size of the set? (Must be numerical or N/A)","If so, what is the price of the set?",What is the max number of users that can use 1 device? (Must be numerical. 25 will mean there is no max),This comlumn is AUTOMATICALLY calculated based on the columns E & J. It represents a class size of 25 students divided by the number of students who can use each device. Forumula: (price per item) * (25 / set size). ,Does the device rely on AUDITORY cues for interations and functionality? ,Does the device rely on VISUAL cues for interations and functionality? ,Is the device rechargeable?,Does the device need batteries?,"Does it need an ipad, Internet connectivity, laptop running windows?",What is the minimum age recommended for the product?,What is the minimum grade level recommended for the product?,"Brief descritption of the device. Can be taken directly from the manufacter or purchase website, or written yourself."
,Evo Robot,Ozobot,https://ozobot.com/,$175.00,https://shop.ozobot.com/collections/all/products/evo-entry-kit?variant=39511359881258,Yes,12,"$2,050.00",2,"$2,187.50",Yes,Yes,Yes,No,No,6,K,"The Ozobot Evo Entry Kit is an educational coding robot designed to introduce children to the world of programming and robotics. With Evo, kids can learn to code using a visual programming language or by drawing colored lines on paper. Evo is equipped with sensors, LEDs, and a speaker, making it both visually and audibly interactive. The robot is powered by a rechargeable battery and does not require additional devices to operate. It is suitable for children ages 8 and up, providing a fun and engaging way to learn coding concepts and problem-solving skills."
,BOLT Coding Robot,Sphero,https://sphero.com/collections/all?gad=1&gclid=CjwKCAjwpuajBhBpEiwA_ZtfhWNERtCfT7RkrmT8aqp_0NvokUPQZ7vRlXcv5tIaqa0TL36dXENPwBoCMPEQAvD_BwE,$179.00,https://sphero.com/collections/coding-robots/products/sphero-bolt,Yes,15,"$2,999.00",2,"$2,237.50",No,No,Yes,No,Yes,8,3,"The Sphero Bolt is a programmable robotic ball designed for coding and STEAM education. It features advanced sensors, LED lights, and a durable construction, allowing users to create and customize their own interactive games and activities. With the Sphero Edu app, users can code Bolt using block-based programming or JavaScript, and explore various programming concepts. The robot is rechargeable, eliminating the need for batteries, and it can be controlled using a compatible device such as a smartphone or tablet. The Sphero Bolt offers a hands-on and interactive learning experience for students of all ages, promoting creativity, problem-solving, and computational thinking skills."
,Turing Tumble,Upper Story,https://upperstory.com/,$69.95,https://store.upperstory.com/products/turing-tumble?_gl=1*1xexcr5*_ga*MTczOTg3MzQwNS4xNjg1NjUxNDA5*_ga_GZB6Z4FLXY*MTY4NTY1MTQwOC4xLjAuMTY4NTY1MTQwOC4wLjAuMA..,Yes,15,$982.65,3,$582.92,Yes,No,No,No,No,8,3,"The Turing Tumble is a unique mechanical puzzle game that introduces players to the principles of logic and computer programming in a tangible and engaging way. It consists of a board and various mechanical components, including gears, switches, and marbles, which can be arranged to solve a series of puzzles. By placing the components in the correct sequence, players can simulate binary operations and create complex logic gates. The Turing Tumble offers a hands-on learning experience that promotes critical thinking, problem-solving, and computational reasoning skills."
,Dash Robot,Wonder Workshop,https://store.makewonder.com/collections/products-accessories?utm_source=Google+Ads&utm_medium=Search+Ad+-+&utm_campaign=Chat_GPT_Ads_Test&gclid=CjwKCAjwpuajBhBpEiwA_ZtfhTKQPm5UID-huJFPcQIUaIlUz20S9W_QsF_YyuVT_MFfdBzegA8YXxoCpyMQAvD_BwE,$179.00,https://www.makewonder.com/robots/dash/,Yes,6,"$1,250.00",2,"$2,237.50",Yes,Yes,Yes,No,Yes,6,K,"Dash is a programmable robot designed to introduce young learners to coding and robotics in a fun and interactive way. With its friendly and expressive personality, Dash can be controlled and programmed using various coding languages and apps, allowing children to explore and experiment with coding concepts. Dash offers a range of educational activities and challenges that promote creativity, problem-solving, and computational thinking skills. It can navigate its environment, respond to voice commands, play games, and interact with its surroundings using sensors and built-in features. Dash provides an engaging platform for hands-on learning and discovery in the field of robotics and programming."
,KIBO 10 Kit,KinderLab Robotics,https://kinderlabrobotics.com/,$260.00,https://kinderlabrobotics.com/products/kibo-10-kit/,No,N/A,N/A,1,"$6,500.00",No,No,No,Yes,No,4,PK,"KIBO 10 is a hands on, screen-free robot kit where PreK-5th graders create, design, decorate and bring their own robot to life! The KIBO 10 kit offers everything a child needs for an introduction to programming abd movement with robots."
,Makey Makey Classic,Makey Makey,https://makeymakey.com/,$49.95,https://makeymakey.com/pages/featured-products,Yes,12,$699.95,1,"$1,248.75",Yes,Yes,No,No,Yes,8,3,"Makey Makey makes STEM Education fun! Start out easy with a banana piano. First setup takes seconds. Then make game controllers, musical instruments, and countless inventions. Advance to additional inputs and multi-key remapping up to 18 keys"
Yes,Robo Rally,Avalon Hill,https://www.avalonhill.com/en-us/product/avalon-hill-robo-rally-strategy-board-game-ages-12-and-up-for-2-6-players:944094CE-CDD0-476E-BAC3-6A20EBE929E0,$60.00,https://www.avalonhill.com/en-us/product/avalon-hill-robo-rally-strategy-board-game-ages-12-and-up-for-2-6-players:944094CE-CDD0-476E-BAC3-6A20EBE929E0,No,N/A,N/A,6,$250.00,No,No,No,No,No,10,5,"The robots of the Robo Rally automobile factory spend their weekdays toiling at the assembly line. They put in hours building high-speed supercars they never get to see in action. But on Saturday nights, the factory becomes a world of mad machines and dangerous schemes as they engage in their own epic race. In this strategy board game, it takes speed, wits, and lots of tricks to become a racing legend! Each player chooses a robot figure and directs its moves by playing cards. Chaos ensues as all players reveal the cards they've chosen. Industrial lasers, gaping pits, and moving conveyer belts are obstacles -- but those can also be used to a player's advantage. Each player aims to make it to each of the checkpoints in numerical order. The first player to reach all of the checkpoints wins."
,Robot Turtles,Thinkfun,https://www.thinkfun.com/,$19.97,https://www.amazon.com/gp/product/B00HN2BXUY/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B00HN2BXUY&linkCode=as2&tag=thin05b-20&linkId=TCNDQ5OXTDZHOPGI,No,N/A,N/A,5,$99.85,No,No,No,No,No,4,PK,"Preschoolers can learn programming one turtle move at a time. Robot Turtles takes seconds to learn, minutes to play and provides endless learning opportunities. Through fun play and Code Cards, players move their Robot Turtles around the game board to reach a prized jewel. With every move preschoolers learn programming, from coding to functions, and get a jumpstart on 21st century thinking skills. This might be a coding board game for little programmers, but the entire family will love playing it, too."
,Scratch Jr Coding Cards,Scratch Jr,https://www.scratchjr.org/,$24.95,https://www.amazon.com/ScratchJr-Coding-Cards-Creative-Activities/dp/1593278993,No,N/A,N/A,25,$24.95,No,No,No,No,Yes,5,PK,"The ScratchJr Coding Cards are a deck of 75 activity cards covering fun and exciting projects designed to educate young children with the visual programming language, ScratchJr. ScratchJr is a free, introductory computer programming language that runs on iPads, Android tablets, Amazon tablets, and Chromebooks. Derived from Scratch, the wildly popular programming language used by millions of kids worldwide, ScratchJr helps even younger children (5 to 7 years old) create their own playful animations, interactive stories, and dynamic games."
Yes,Sphero BB-8,Sphero,https://sphero.com/pages/legacy-products,$199.86,https://www.amazon.com/Original-BB-8-Sphero-Droid-Trainer/dp/B0107H5FJ6,No,N/A,N/A,1,"$4,996.50",No,No,Yes,No,Yes,3,PK,"Meet BB-8 - the app-enabled Droid whose movements and personality are as authentic as they are advanced. Based on your interactions, BB-8 will show a range of expressions and perk up when you give voice commands. Watch your Droid explore autonomously, guide BB-8 yourself, or create and view holographic recordings. BB-8 is more than a toy - it’s your companion."
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,,,,,,,,,,,
No,,,,,,,,,,,,,,,,,,
